source_file,target_adls_path,status,upload_timestamp,error_message
data/raw\app_events_logs\app_events_logs_20260510_120031.log,raw/app_events_logs/app_events_logs_20260510_120031.log,SUCCESS,2026-05-11 11:17:31,
data/raw\clickstream_logs\clickstream_logs_20260510_120031.log,raw/clickstream_logs/clickstream_logs_20260510_120031.log,SUCCESS,2026-05-11 11:17:32,
data/raw\customers\customers_20260510_093153_628113.json,raw/customers/customers_20260510_093153_628113.json,SUCCESS,2026-05-11 11:17:33,
data/raw\customers\customers_20260510_093153_634406.json,raw/customers/customers_20260510_093153_634406.json,SUCCESS,2026-05-11 11:17:33,
data/raw\customer_feedback\customer_feedback_20260510_115233.json,raw/customer_feedback/customer_feedback_20260510_115233.json,SUCCESS,2026-05-11 11:17:35,
data/raw\inventory_snapshot\inventory_snapshot_20260510_095405.csv,raw/inventory_snapshot/inventory_snapshot_20260510_095405.csv,SUCCESS,2026-05-11 11:17:36,
data/raw\marketing_campaigns\marketing_campaigns_20260510_115233.json,raw/marketing_campaigns/marketing_campaigns_20260510_115233.json,SUCCESS,2026-05-11 11:17:37,
data/raw\orders\orders_20260510_093153_613622.json,raw/orders/orders_20260510_093153_613622.json,SUCCESS,2026-05-11 11:17:38,
data/raw\orders\orders_20260510_093153_621855.json,raw/orders/orders_20260510_093153_621855.json,SUCCESS,2026-05-11 11:17:39,
data/raw\orders\orders_20260510_093153_624835.json,raw/orders/orders_20260510_093153_624835.json,SUCCESS,2026-05-11 11:17:40,
data/raw\order_items\order_items_20260510_093153_638827.json,raw/order_items/order_items_20260510_093153_638827.json,SUCCESS,2026-05-11 11:17:41,
data/raw\order_items\order_items_20260510_093153_642968.json,raw/order_items/order_items_20260510_093153_642968.json,SUCCESS,2026-05-11 11:17:42,
data/raw\order_items\order_items_20260510_093153_646856.json,raw/order_items/order_items_20260510_093153_646856.json,SUCCESS,2026-05-11 11:17:43,
data/raw\payments\payments_20260510_093153_594555.json,raw/payments/payments_20260510_093153_594555.json,SUCCESS,2026-05-11 11:17:44,
data/raw\payments\payments_20260510_093153_608977.json,raw/payments/payments_20260510_093153_608977.json,SUCCESS,2026-05-11 11:17:45,
data/raw\payments\payments_20260510_093153_613082.json,raw/payments/payments_20260510_093153_613082.json,SUCCESS,2026-05-11 11:17:45,
data/raw\payment_gateway_logs\payment_gateway_logs_20260510_120032.log,raw/payment_gateway_logs/payment_gateway_logs_20260510_120032.log,SUCCESS,2026-05-11 11:17:47,
data/raw\product_catalog\product_catalog_20260510_095405.csv,raw/product_catalog/product_catalog_20260510_095405.csv,SUCCESS,2026-05-11 11:17:48,
data/raw\product_reviews_api\product_reviews_api_20260510_121148.json,raw/product_reviews_api/product_reviews_api_20260510_121148.json,SUCCESS,2026-05-11 11:17:49,
data/raw\return_requests\return_requests_20260510_115233.json,raw/return_requests/return_requests_20260510_115233.json,SUCCESS,2026-05-11 11:17:50,
data/raw\shipments_api\shipments_api_20260510_121148.json,raw/shipments_api/shipments_api_20260510_121148.json,SUCCESS,2026-05-11 11:17:51,
data/raw\support_tickets_api\support_tickets_api_20260510_121148.json,raw/support_tickets_api/support_tickets_api_20260510_121148.json,SUCCESS,2026-05-11 11:17:51,
data/raw\vendor_master\vendor_master_20260510_095405.csv,raw/vendor_master/vendor_master_20260510_095405.csv,SUCCESS,2026-05-11 11:17:52,
